city,city_ascii,lat,lng,country,region,capital,population,id
St. Anthony,St. Anthony,51.3837,-55.6,Canada,Newfoundland and Labrador,1124808047
Rigolet,Rigolet,54.1766,-58.4473,Canada,Newfoundland and Labrador,1124015130
Fort Good Hope,Fort Good Hope,66.2666,-128.6333,Canada,Northwest Territories,1124011380
La Scie,La Scie,49.967,-55.583,Canada,Newfoundland and Labrador,1124371570
Fort St. John,Fort St. John,56.25,-120.8333,Canada,British Columbia,1124517495
Marathon,Marathon,48.7504,-86.3667,Canada,Ontario,1124974800
Gaspé,Gaspe,48.8373,-64.4934,Canada,Québec,1124212754
Nelson House,Nelson House,55.8005,-98.85,Canada,Manitoba,1124119363
Lillooet,Lillooet,50.6837,-121.9333,Canada,British Columbia,1124632130
Fort McMurray,Fort McMurray,56.7333,-111.3833,Canada,Alberta,1124169385
Jasper,Jasper,52.8833,-118.0834,Canada,Alberta,1124533812
Buchans,Buchans,48.817,-56.8666,Canada,Newfoundland and Labrador,1124564223
Stettler,Stettler,52.333,-112.6833,Canada,Alberta,1124010388
La Ronge,La Ronge,55.1,-105.3,Canada,Saskatchewan,1124763455
Brochet,Brochet,57.8832,-101.6666,Canada,Manitoba,1124164486
Baddeck,Baddeck,46.1,-60.754,Canada,Nova Scotia,1124594988
Pond Inlet,Pond Inlet,72.685,-78.0001,Canada,Nunavut,1124788973
St-Augustin,St-Augustin,51.2423,-58.647,Canada,Québec,1124425707
Gimli,Gimli,50.6333,-97,Canada,Manitoba,1124472413
Red Lake,Red Lake,51.0337,-93.8333,Canada,Ontario,1124856215
Stephenville,Stephenville,48.5504,-58.5666,Canada,Newfoundland and Labrador,1124000201
Ennadai,Ennadai,61.1333,-100.8833,Canada,Nunavut,1124019423
Happy Valley - Goose Bay,Happy Valley - Goose Bay,53.3,-60.3,Canada,Newfoundland and Labrador,1124879731
Williams Lake,Williams Lake,52.1166,-122.15,Canada,British Columbia,1124821980
Prince Rupert,Prince Rupert,54.3167,-130.33,Canada,British Columbia,1124847707
Chilliwack,Chilliwack,49.1666,-121.95,Canada,British Columbia,1124531262
Radisson,Radisson,53.7836,-77.6166,Canada,Québec,1124508471
Churchill,Churchill,58.766,-94.166,Canada,Manitoba,1124676851
Port Hardy,Port Hardy,50.7171,-127.5,Canada,British Columbia,1124937351
Penticton,Penticton,49.5004,-119.5833,Canada,British Columbia,1124613898
Drummondville,Drummondville,45.8833,-72.4834,Canada,Québec,1124624283
Brandon,Brandon,49.8333,-99.95,Canada,Manitoba,1124239939
Argentia,Argentia,47.3004,-53.99,Canada,Newfoundland and Labrador,1124242107
Kimmirut,Kimmirut,62.85,-69.8833,Canada,Nunavut,1124651529
Wiarton,Wiarton,44.7337,-81.1333,Canada,Ontario,1124916771
Ottawa,Ottawa,45.4167,-75.7,Canada,Ontario,1124399363
Fort Chipewyan,Fort Chipewyan,58.7171,-111.15,Canada,Alberta,1124526582
Fort Nelson,Fort Nelson,58.8167,-122.533,Canada,British Columbia,1124378059
Lynn Lake,Lynn Lake,56.85,-101.05,Canada,Manitoba,1124617750
Weyburn,Weyburn,49.6666,-103.85,Canada,Saskatchewan,1124618383
Burns Lake,Burns Lake,54.217,-125.7666,Canada,British Columbia,1124512812
Nain,Nain,56.5474,-61.686,Canada,Newfoundland and Labrador,1124719084
Prince George,Prince George,53.9167,-122.7667,Canada,British Columbia,1124733292
Cochrane,Cochrane,49.067,-81.0166,Canada,Ontario,1124296729
Nipigon,Nipigon,49.017,-88.25,Canada,Ontario,1124361489
Rivière-du-Loup,Riviere-du-Loup,47.8333,-69.5333,Canada,Québec,1124662123
St.-Jerome,St.-Jerome,45.7666,-74,Canada,Québec,1124268324
Geraldton,Geraldton,49.7166,-86.9666,Canada,Ontario,1124836221
New Liskeard,New Liskeard,47.5,-79.6666,Canada,Ontario,1124394858
Cat Lake,Cat Lake,51.717,-91.8,Canada,Ontario,1124908580
Tofino,Tofino,49.1521,-125.9031,Canada,British Columbia,1124140302
Tsiigehtchic,Tsiigehtchic,67.4333,-133.75,Canada,Northwest Territories,1124282127
Thompson,Thompson,55.7499,-97.8666,Canada,Manitoba,1124110693
Abbotsford,Abbotsford,49.0504,-122.3,Canada,British Columbia,1124808029
Trois-Rivières,Trois Rivieres,46.35,-72.5499,Canada,Québec,1124407487
Peterborough,Peterborough,44.3,-78.3333,Canada,Ontario,1124440356
Amos,Amos,48.5666,-78.1167,Canada,Québec,1124939649
Chapleau,Chapleau,47.8337,-83.4,Canada,Ontario,1124518288
Athabasca,Athabasca,54.717,-113.2666,Canada,Alberta,1124006333
Red Deer,Red Deer,52.2666,-113.8,Canada,Alberta,1124404130
Belleville,Belleville,44.1667,-77.3833,Canada,Ontario,1124786959
Kapuskasing,Kapuskasing,49.4167,-82.4333,Canada,Ontario,1124764245
Sioux Lookout,Sioux Lookout,50.263,-91.9166,Canada,Ontario,1124804545
Winnipeg,Winnipeg,49.883,-97.166,Canada,Manitoba,1124224963
Lake Louise,Lake Louise,51.4337,-116.1833,Canada,Alberta,1124619845
Banff,Banff,51.178,-115.5719,Canada,Alberta,1124351648
Doline,Doline,65.1833,-123.4167,Canada,Northwest Territories,1124071207
Cambridge Bay,Cambridge Bay,69.117,-105.0333,Canada,Nunavut,1124596377
Biggar,Biggar,52.0504,-107.9833,Canada,Saskatchewan,1124897904
Nanaimo,Nanaimo,49.146,-123.9343,Canada,British Columbia,1124623893
Val d'Or,Val d'Or,48.1166,-77.7666,Canada,Québec,1124239138
Hall Beach,Hall Beach,68.7675,-81.2361,Canada,Nunavut,1124072220
Oxford House,Oxford House,54.9504,-95.2666,Canada,Manitoba,1124490415
The Pas,The Pas,53.8166,-101.2333,Canada,Manitoba,1124755168
Meander River,Meander River,59.0333,-117.683,Canada,Alberta,1124688170
Bathurst,Bathurst,47.6,-65.65,Canada,New Brunswick,1124816720
Windsor,Windsor,44.9806,-64.1291,Canada,Nova Scotia,1124800737
Windsor,Windsor,42.3333,-83.0333,Canada,Ontario,1124261024
Victoriaville,Victoriaville,46.0504,-71.9667,Canada,Québec,1124149787
Brockville,Brockville,44.5893,-75.6953,Canada,Ontario,1124286131
